,correct,wrong
0,می‌خواهد یک خانه واقع در شهرک شکوهیه بفروش برسد .,می‌خواهد یک خانه واقع در شهری شکوهیه بفروش است .
1,در طبقه سوم است، پارکینگ اختصاصی دارد، 120 متر 3 خوابه است، خیلی راحت است. 40 میلیون وام مسکن دارد . بیمه آتش سوزی دارد. کف‌پوش سرامیک و دارای آسانسور است .,در طبقه سوم است، پارکینگ اختصاصی دارد، 120 متر 3 خوابه است، خیلی راحت است. 40 میلیون وام مسکن است . بیمه آتش سوزی دارد. کف‌پوش سرامیک و دارای آسانسور دارد .
2,1. طبیعت زیست 2. سلامت و بیماری 3.,1. طبیعی زیست 2. سلامت و بیماری 3.
3,کاربران رایانه به خاطر استفاده زیاد از کامپیوتر مشکلات اجتماعی (مثلاً انزوای اجتماعی) و مشکلات سلامتی (مثلاً افسردگی) دارند. آن‌ها در یک زندگی مجازی و غیر واقعی زندگی می‌کنند.,کاربران رایانه به خاطر استفاده زیادی از کامپیوتر هم مشکلات اجتماعی (مثلاً انزوای اجتماعی) هم و مشکلات سلامتی (مثلاً افسردگی) دارند. آن‌ها هم در یک زندگی مجازی و غیر واقعی زندگی می‌کنند.
4,در شهرک شکوهیه یک آپارتمان 120 متر 3 خوابه با پارکینگ اختصاصی و بیمه آتش‌سوزی می فروشیم. در طبقه سوم قرار دارد و کف پوش سرامیک دارد. این مسکن آسانسور دارد . موضوع این آگهی فروختن یک واحد آپارتمان است.,در شهرک شکوهیه یا آپارتمان 120 متر 3 خوابه با پارکینگ اختصاصی و بیمه آتش‌سوزی می فروشیم. در طبقه سوم قرار داره و کف پوش سرامیک دارد. این مسکن آسانسور داره . موضوع این آگهی فروختن یک واحد آپارتمان است.
5,این متن درباره بیابان‌زایی و روند تخریب طبیعت صحبت می‌کند. به نظر نویسنده علت و تقصیر این وضعیت مال سودجویان است. بدبختانه دولت هم کم‌توجهی به طبیعت نشان می‌دهد.,این متن درباره بیابان‌زایی و روند تخریب طبیعت صحبت می‌کند. به نظر نویسنده موجب و تقصیر این وضعیت مال سودجویان است. بدبختانه دولت هم کم‌توجه به طبیعت نشان می‌دهد.
6,یک واحد آپارتمان واقع در شهرک شکوهیه – 120 متر 3 خوابه- کف‎پوش سرامیک در طبقه سوم، ملک دارای آسانسور و پارکینگ اختصاصی (بیمه آتش‌سوزی) 40 میلیون وام مسکن (فروش املاک),یک واحد آپارتمان واقع در شهرک شکوهیه – 120 متر 3 خوابه- همه کف‎پوش سرامیک در طبقه سوم، ملک دارای آسانسور و پارکینگ اختصاصی (بیمه آتش‌سوزی) 40 میلیون وام مسکن (فروش املاک)
7,در گذشته بیابان‌ها دشت‌های پر‎گیاهی بودند. به خاطر دخالت‌های بی‎مورد و اثر سودجویان آن به دشت‌های شن تبدیل شدند که فعالیت‌های عمرانی یا صنعتی مسئول علتش هستند. خوشبخنانه همه دشت‌ها هنوز دچار نشده‌اند.,در گذشته بیابان‌ها دشت‌های پر‎گیاهی بودند. به خاطر دخالت‌های بی‎مورد و اثر سودجویان آن را دشت‌های شن ها شدند فعالیت‌های عمرانی یا صنعتی مسئول هستند. خوشبخنانه همه دشت‌ها هنوز دچار نشده‌اند.
8,کاربران با }مشکلات خشکی چشم برخورد می‌کنند و مشکلات کمر درد ، مشکلات قلبی مواجه هستند. انزوای اجتماعی و ... و مشکلات کمر درد، مشکلات قلبی، انزوای اجتماعی و... مواجه هستند.,کاربران با مواجه }مشکلات خشکی چشم برخورد می‌کنند و مشکلات کمر درد و ، مشکلات قلبی مواجه هستند. انزوای اجتماعی و ... و مشکلات کمر درد، مشکلات قلبی، انزوای اجتماعی و... مواجه هستند.
9,اگر می‌خواهیم مبارزه با بیابانزدایی کنیم باید اقدامات پیشگیرانه انجام دهیم ولی وقتی بررسی کنیم می‌فهمیم که قبلاً به جای بیابان‎ها گیاه بوده‌اند بودند ولی متاسفانه بعضی از سودجویان و دولت دشت‌هایی پر از گیاه را به دشت های مملو از شن‌ها تبدیل کردند . خوشبختانه بیابان ها هنوز درختهای کهنسال دارند.,اگر می‌خواهیم مبارزه بیابان زاده باید اقدامات پیشگیرانه انجام دهید ولی وقتی بررسی کنیم می‌فهمیم که قبلاً به جای بیابان‎ها گیاه بوده‌اند ولی متاسفانه بعضی از سودجویان و دولت به دشت‌هایی پر از گیاه را و به دشت های مملو از شن‌ها تبدیل شده‌اند کردند . خوشبختانه بیابان ها هنوز درختهای کهنسال دارند.
